FIRST_DIST,FIRST_GaPa,HRRP_Palika_Code,Total_Beneficiary,First_Tranche,First_Tranche_Percent,Second_Tranche,Second_Tranche_Percent,Third_Tranche,Third_Tranche_Percent
Solukhumbu,Solududhakunda Nagarpalika,11007,"2,844","2,844",100%,"2,584",91%,"2,380",84%
Solukhumbu,Sotang Gaunpalika,11008,"1,182","1,182",100%,"1,014",86%,918,78%
Syangja,Aandhikhola Gaunpalika,39001,856,856,100%,532,62%,358,42%
Syangja,Arjunchaupari Gaunpalika,39002,504,504,100%,369,73%,310,62%
Syangja,Bhirkot Nagarpalika,39003,"1,017","1,017",100%,450,44%,318,31%
Syangja,Biruwa Gaunpalika,39004,623,623,100%,411,66%,319,51%
Syangja,Chapakot Nagarpalika,39005,825,825,100%,544,66%,444,54%
Syangja,Galyang Nagarpalika,39006,639,639,100%,466,73%,417,65%
Syangja,Harinas Gaunpalika,39007,428,428,100%,278,65%,245,57%
Syangja,Kaligandagi Gaunpalika,39008,444,444,100%,240,54%,206,46%
Syangja,Phedikhola Gaunpalika,39009,286,286,100%,183,64%,167,58%
Syangja,Putalibazar Nagarpalika,39010,"1,500","1,500",100%,926,62%,753,50%
Syangja,Waling Nagarpalika,39011,"1,661","1,661",100%,"1,026",62%,840,51%
Tanahun,Anbukhaireni Gaunpalika,38001,897,897,100%,621,69%,584,65%
Tanahun,Bandipur Gaunpalika,38002,"1,009","1,009",100%,771,76%,588,58%
Tanahun,Bhanu Nagarpalika,38003,"4,340","4,340",100%,"3,154",73%,"2,687",62%
Tanahun,Bhimad Nagarpalika,38004,"1,169","1,169",100%,791,68%,623,53%
Tanahun,Byas Nagarpalika,38005,"2,296","2,296",100%,"1,423",62%,"1,262",55%
Tanahun,Devghat Gaunpalika,38006,577,577,100%,413,72%,351,61%
Tanahun,Ghiring Gaunpalika,38007,265,265,100%,199,75%,163,62%
Tanahun,Myagde Gaunpalika,38008,"1,312","1,312",100%,939,72%,771,59%
Tanahun,Rhishing Gaunpalika,38009,536,536,100%,390,73%,316,59%
Tanahun,Shuklagandaki Nagarpalika,38010,"1,780","1,780",100%,"1,367",77%,"1,025",58%
