District	Municipality	Ward	Partner Organization	Implementing Partner	Funding Organisation	Sector	Activity Type	Name of the Infrastructure	Activity Detail	Curriculum (for Trainings)	Activity Status	Unit (Indicator)	Planned#	Reached#	GaNaPa_Code	GaPaN_Ward_Code
Sindhupalchok	Tripura Sundari	5	PIN	PIN/CSRC	DFID	Governance	Support - Information Management support at the national/sub-national level		Information collection of remaing CAT 3 listed HHs		Completed	mechanisms	4	4	23012	23012-5
Sindhupalchok	Tripura Sundari	4	SCI	SCI	SCI	Nutrition	Support - Management of Moderate Acute Malnutrition cases	16 TSFP sites	Support and monitoring in Management of Moderate acute malnutrion children 			children	167		23012	23012-4
Sindhupalchok	Tripura Sundari	3	JICA		JICA	Rural Housing and Community Infrastructure	Orientation - Household reconstruction orientation	4-5 sessions			Planned	households	160	0	23012	23012-3
Sindhupalchok	Tripura Sundari	4	ICCO	ISARD	ICCO cooperation/D&P Canada	"Agriculture, Livestock Development and Irrigation"	Support - Post-Harvest facilities		Improve access to plastic crates to transport perishable crops		Completed	households	125	125	23012	23012-4
Sindhupalchok	Tripura Sundari	4	UNDP	UNDP	UNDP	Rural Housing and Community Infrastructure	Support - Interactive mobile van/theatre	Interactive mobile van/theatre			Completed	participants	100	132	23012	23012-4
Sindhupalchok	Tripura Sundari	4	ICCO	ISARD	ICCO cooperation/D&P Canada	"Agriculture, Livestock Development and Irrigation"	"Support - Extension services, technical support and outreach"		Improve access to government services		Completed	households	100	100	23012	23012-4
Sindhupalchok	Tripura Sundari	5	SABAL	UCEP-N	USAID	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"	3 groups		Completed	individuals	66	66	23012	23012-5
Sindhupalchok	Tripura Sundari	4	SABAL	UCEP-N	USAID	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"	3 lots		Completed	individuals	52	52	23012	23012-4
Sindhupalchok	Tripura Sundari	4	ICCO	ISARD	ICCO cooperation/D&P Canada	"Agriculture, Livestock Development and Irrigation"	Support - Post-Harvest facilities		Trainings on harvest and post harvest management of cash crops (vegetables and potatos)		Completed	households	50	50	23012	23012-4
Sindhupalchok	Tripura Sundari	4	SCI	TASK	SCI	Nutrition	Support - Community and HF based counselling		Nutritious food demostration with among pregnant and lactating and mothers/caretakers of under 2 years children			individuals	45		23012	23012-4
Sindhupalchok	Tripura Sundari	4	SCI	TASK	SCI	Nutrition	Support - Community and HF based counselling		Nutritious food demostration with among pregnant and lactating and mothers/caretakers of under 2 years children			individuals	45		23012	23012-4
Sindhupalchok	Tripura Sundari	4	SCI	TASK	SCI	Nutrition	Support - Community and HF based counselling		Nutritious food demostration with among pregnant and lactating and mothers/caretakers of under 2 years children			individuals	45		23012	23012-4
Sindhupalchok	Tripura Sundari	4	SCI	TASK	SCI	Nutrition	Support - Community and HF based counselling		Nutritious food demostration with among pregnant and lactating and mothers/caretakers of under 2 years children			individuals	45		23012	23012-4
Sindhupalchok	Tripura Sundari	4	SCI	TASK	SCI	Nutrition	Support - Community and HF based counselling		Nutritious food demostration with among pregnant and lactating and mothers/caretakers of under 2 years children			individuals	45		23012	23012-4
Sindhupalchok	Tripura Sundari	4	SCI	TASK	SCI	Nutrition	Support - Community and HF based counselling		Nutritious food demostration with among pregnant and lactating and mothers/caretakers of under 2 years children			individuals	45		23012	23012-4
Sindhupalchok	Tripura Sundari	4	SCI	TASK	SCI	Nutrition	Support - Community and HF based counselling		Nutritious food demostration with among pregnant and lactating and mothers/caretakers of under 2 years children			individuals	45		23012	23012-4
Sindhupalchok	Tripura Sundari	4	SCI	TASK	SCI	Nutrition	Support - Community and HF based counselling		Nutritious food demostration with among pregnant and lactating and mothers/caretakers of under 2 years children			individuals	45		23012	23012-4
Sindhupalchok	Tripura Sundari	4	SCI	TASK	SCI	Nutrition	Support - Community and HF based counselling		Nutritious food demostration with among pregnant and lactating and mothers/caretakers of under 2 years children			individuals	45		23012	23012-4
Sindhupalchok	Tripura Sundari	4	SABAL	UCEP-N	USAID	Rural Housing and Community Infrastructure	Capacity building - Vocational/on-the-job training for mason	New masons (50 days OJT CTEVT)	390 hours mason training based on CTEVT curriculum		Completed	individuals	42	42	23012	23012-4
Sindhupalchok	Tripura Sundari	3	SABAL	UCEP-N	USAID	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"			Completed	individuals	40	69	23012	23012-3
Sindhupalchok	Tripura Sundari	4	SCI	SCI	SCI	Nutrition	Preparedness - Logistic Prepositioning	Piskar HP	RUSF distribution  to the health facility for MAM children management 			units	34		23012	23012-4
Sindhupalchok	Tripura Sundari	2	ICCO	ISARD	ICCO cooperation/D&P Canada	"Agriculture, Livestock Development and Irrigation"	Support - Post-Harvest facilities		Improve access to plastic crates to transport perishable crops		Completed	households	125	125	23012	23012-2
Sindhupalchok	Tripura Sundari	2	SCI	SCI	SCI	Nutrition	Preparedness - Logistic Prepositioning		Baby kits distribution to the children of  0-23 months 			units	123		23012	23012-2
Sindhupalchok	Tripura Sundari	2	SCI	SCI	SCI	Nutrition	Preparedness - Logistic Prepositioning		Baby kits distribution to the children of  0-23 months 			units	123		23012	23012-2
Sindhupalchok	Tripura Sundari	2	SCI	SCI	SCI	Nutrition	Preparedness - Logistic Prepositioning		Baby kits distribution to the children of  0-23 months 			units	123		23012	23012-2
Sindhupalchok	Tripura Sundari	2	SCI	SCI	SCI	Nutrition	Preparedness - Logistic Prepositioning		Baby kits distribution to the children of  0-23 months 			units	123		23012	23012-2
Sindhupalchok	Tripura Sundari	2	SCI	SCI	SCI	Nutrition	Preparedness - Logistic Prepositioning		Baby kits distribution to the children of  0-23 months 			units	123		23012	23012-2
Sindhupalchok	Tripura Sundari	2	SCI	SCI	SCI	Nutrition	Preparedness - Logistic Prepositioning		Baby kits distribution to the children of  0-23 months 			units	123		23012	23012-2
Sindhupalchok	Tripura Sundari	2	SCI	SCI	SCI	Nutrition	Preparedness - Logistic Prepositioning		Baby kits distribution to the children of  0-23 months 			units	123		23012	23012-2
Sindhupalchok	Tripura Sundari	2	SCI	SCI	SCI	Nutrition	Preparedness - Logistic Prepositioning		Baby kits distribution to the children of  0-23 months 			units	123		23012	23012-2
Sindhupalchok	Tripura Sundari	2	SCI	SCI	SCI	Nutrition	Preparedness - Logistic Prepositioning		Baby kits distribution to the children of  0-23 months 			units	123		23012	23012-2
Sindhupalchok	Tripura Sundari	2	UNDP	UNDP	UNDP	Rural Housing and Community Infrastructure	Support - Interactive mobile van/theatre	Interactive mobile van/theatre			Completed	participants	100	116	23012	23012-2
Sindhupalchok	Tripura Sundari	2	ICCO	ISARD	ICCO cooperation/D&P Canada	"Agriculture, Livestock Development and Irrigation"	"Support - Extension services, technical support and outreach"		Improve access to government services		Completed	households	100	100	23012	23012-2
Sindhupalchok	Tripura Sundari	2	ICCO	ISARD	ICCO cooperation/D&P Canada	"Agriculture, Livestock Development and Irrigation"	Support - Post-Harvest facilities		Trainings on harvest and post harvest management of cash crops (vegetables and potatos)		Completed	households	50	50	23012	23012-2
Sindhupalchok	Tripura Sundari	2	ICCO	ISARD	ICCO cooperation/D&P Canada	"Agriculture, Livestock Development and Irrigation"	"Support - Extension services, technical support and outreach"		Need identification for crops and poultry insurance to understand market size		Completed	households	30	30	23012	23012-2
Sindhupalchok	Tripura Sundari	2	ICCO	ISARD	ICCO cooperation/D&P Canada	Education	Capacity building - Skill based training programme through CLCs		Financial literacy W/s for mothers groups/farmers groups/cooperatives		Completed	individuals	25	25	23012	23012-2
Sindhupalchok	Tripura Sundari	2	ICCO	ISARD	ICCO cooperation/D&P Canada	Education	Capacity building - Skill based training programme through CLCs		Financial literacy W/s for mothers groups/farmers groups/cooperatives		Completed	individuals	25	25	23012	23012-2
