District,VDC (ward) to Palika,VDC (ward) to Palika - ward,Partner Organization ,Project Title,"Implementing
Partner","Funding
Organisation",Sector,Activity Type,Name of the Infrastructure,Activity Detail,Curriculum (for Trainings),Activity Status,Unit (Indicator),"Physical Target -
Planned","Physical Target -
Reached",GaNaPa Ward Number ,GaNaPa_Code,GaPaN_Ward_Code
Sindhupalchok,Helambu,3,HELVETAS,Rehabilitation of Facilities of Earthquake Affected People (REAP) and Recovery of Agriculture Livelihood Project (ReAL),CDECF,Swiss Solidarity ,"Agriculture, Livestock Development and Irrigation",Reconstruction/rehabilitation - Small scale irrigation scheme,,sustainable reconstruction of 40 small scale farmer managed irrigation systems. ,,Planned,households,2,0,3,23005,23005-3
Sindhupalchok,Helambu,3,HELVETAS,Rehabilitation of Facilities of Earthquake Affected People (REAP) and Recovery of Agriculture Livelihood Project (ReAL),CDECF,Swiss Solidarity ,"Agriculture, Livestock Development and Irrigation",Reconstruction/rehabilitation - Small scale irrigation scheme,,,,Planned,households,1,0,3,23005,23005-3
Sindhupalchok,Chautara Sangachokgadhi,9,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,9,23004,23004-9
Sindhupalchok,Chautara Sangachokgadhi,9,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,9,23004,23004-9
Sindhupalchok,Indrawati,9,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,9,23006,23006-9
Sindhupalchok,Melamchi,5,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,5,23009,23009-5
Sindhupalchok,Melamchi,11,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,11,23009,23009-11
Sindhupalchok,Melamchi,5,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,5,23009,23009-5
Sindhupalchok,Melamchi,5,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,5,23009,23009-5
Sindhupalchok,Melamchi,5,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,5,23009,23009-5
Sindhupalchok,Melamchi,5,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,5,23009,23009-5
Sindhupalchok,Melamchi,5,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,5,23009,23009-5
Sindhupalchok,Melamchi,5,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,5,23009,23009-5
Sindhupalchok,Melamchi,5,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,5,23009,23009-5
Sindhupalchok,Chautara Sangachokgadhi,4,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,4,23004,23004-4
Sindhupalchok,Chautara Sangachokgadhi,4,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,4,23004,23004-4
Sindhupalchok,Chautara Sangachokgadhi,4,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,4,23004,23004-4
Sindhupalchok,Chautara Sangachokgadhi,9,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,9,23004,23004-9
Sindhupalchok,Chautara Sangachokgadhi,11,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,11,23004,23004-11
Sindhupalchok,Melamchi,10,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,10,23009,23009-10
Sindhupalchok,Melamchi,10,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,10,23009,23009-10
Sindhupalchok,Melamchi,10,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,10,23009,23009-10
Sindhupalchok,Melamchi,10,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,10,23009,23009-10
Sindhupalchok,Melamchi,10,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,10,23009,23009-10
Sindhupalchok,Melamchi,10,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,10,23009,23009-10
Sindhupalchok,Melamchi,10,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,10,23009,23009-10
Sindhupalchok,Melamchi,10,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,10,23009,23009-10
Sindhupalchok,Tripura Sundari,3,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,3,23012,23012-3
Sindhupalchok,Chautara Sangachokgadhi,8,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,8,23004,23004-8
Sindhupalchok,Chautara Sangachokgadhi,14,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,14,23004,23004-14
Sindhupalchok,Chautara Sangachokgadhi,6,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,6,23004,23004-6
Sindhupalchok,Chautara Sangachokgadhi,1,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,1,23004,23004-1
Sindhupalchok,Barhabise,6,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,6,23002,23002-6
Sindhupalchok,Chautara Sangachokgadhi,2,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,2,23004,23004-2
Sindhupalchok,Chautara Sangachokgadhi,1,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,1,23004,23004-1
Sindhupalchok,Helambu,2,AA,Community-led Reconstruction Programme(CLRP),CSRC,"Disaster Emergency Committee(DEC)
Disaster Preparedness Response Fund (DPRF)
Department of Foreign Affairs and Trade(DFAT)
Basque Government

",Education,Reconstruction - Classrooms,Shree bhumeshowri secondary school,School reconstruction,,,households,6,,2,23005,23005-2
Sindhupalchok,Chautara Sangachokgadhi,1,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,1,23004,23004-1
Sindhupalchok,Chautara Sangachokgadhi,1,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,1,23004,23004-1
Sindhupalchok,Chautara Sangachokgadhi,6,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,6,23004,23004-6
Sindhupalchok,Lisangkhu Pakhar,7,PWJ,,ISAP,PWJ,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,32,19,7,23008,23008-7
Sindhupalchok,Chautara Sangachokgadhi,6,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,6,23004,23004-6
Sindhupalchok,Balefi,5,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,5,23001,23001-5
Sindhupalchok,Barhabise,5,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,5,23002,23002-5
Sindhupalchok,Barhabise,9,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,9,23002,23002-9
Sindhupalchok,Helambu,2,AA,Community-led Reconstruction Programme(CLRP),CSRC,"Disaster Emergency Committee(DEC)
Disaster Preparedness Response Fund (DPRF)
Department of Foreign Affairs and Trade(DFAT)
Basque Government

",Education,Reconstruction - Classrooms,seti devi lower secondary school ,School reconstruction,,,households,3,,2,23005,23005-2
Sindhupalchok,Barhabise,2,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,2,23002,23002-2
Sindhupalchok,Chautara Sangachokgadhi,1,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,1,23004,23004-1
Sindhupalchok,Chautara Sangachokgadhi,2,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,2,23004,23004-2
Sindhupalchok,Panchpokhari Thangpal,5,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,5,23010,23010-5
Sindhupalchok,Panchpokhari Thangpal,5,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,5,23010,23010-5
Sindhupalchok,Panchpokhari Thangpal,5,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,5,23010,23010-5
Sindhupalchok,Panchpokhari Thangpal,5,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,5,23010,23010-5
Sindhupalchok,Panchpokhari Thangpal,5,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,5,23010,23010-5
Sindhupalchok,Panchpokhari Thangpal,5,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,5,23010,23010-5
Sindhupalchok,Panchpokhari Thangpal,5,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,5,23010,23010-5
Sindhupalchok,Panchpokhari Thangpal,5,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,5,23010,23010-5
Sindhupalchok,Panchpokhari Thangpal,5,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,5,23010,23010-5
Sindhupalchok,Panchpokhari Thangpal,6,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,6,23010,23010-6
Sindhupalchok,Panchpokhari Thangpal,6,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,6,23010,23010-6
Sindhupalchok,Panchpokhari Thangpal,6,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,6,23010,23010-6
Sindhupalchok,Panchpokhari Thangpal,6,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,6,23010,23010-6
Sindhupalchok,Panchpokhari Thangpal,6,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,6,23010,23010-6
Sindhupalchok,Panchpokhari Thangpal,6,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,6,23010,23010-6
Sindhupalchok,Panchpokhari Thangpal,6,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,6,23010,23010-6
Sindhupalchok,Panchpokhari Thangpal,6,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,6,23010,23010-6
Sindhupalchok,Panchpokhari Thangpal,6,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,6,23010,23010-6
Sindhupalchok,Panchpokhari Thangpal,4,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,4,23010,23010-4
Sindhupalchok,Panchpokhari Thangpal,4,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,2,,4,23010,23010-4
Sindhupalchok,Panchpokhari Thangpal,4,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,4,23010,23010-4
Sindhupalchok,Panchpokhari Thangpal,4,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,4,23010,23010-4
Sindhupalchok,Panchpokhari Thangpal,4,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,4,23010,23010-4
Sindhupalchok,Panchpokhari Thangpal,4,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,4,23010,23010-4
Sindhupalchok,Panchpokhari Thangpal,4,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,4,23010,23010-4
Sindhupalchok,Panchpokhari Thangpal,4,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,4,23010,23010-4
Sindhupalchok,Panchpokhari Thangpal,4,TGH,,ARSOW-N,TGH,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Vegetable farming,Training and material support,,,households,1,,4,23010,23010-4
Sindhupalchok,Melamchi,7,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,322,,7,23009,23009-7
Sindhupalchok,Melamchi,8,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,132,,8,23009,23009-8
Sindhupalchok,Melamchi,7,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,101,,7,23009,23009-7
Sindhupalchok,Melamchi,7,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,56,,7,23009,23009-7
Sindhupalchok,Melamchi,8,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,26,,8,23009,23009-8
Sindhupalchok,Helambu,1,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,121,,1,23005,23005-1
Sindhupalchok,Helambu,1,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,115,,1,23005,23005-1
Sindhupalchok,Helambu,1,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,18,,1,23005,23005-1
Sindhupalchok,Helambu,6,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,220,,6,23005,23005-6
Sindhupalchok,Helambu,7,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,70,,7,23005,23005-7
Sindhupalchok,Helambu,7,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,60,,7,23005,23005-7
Sindhupalchok,Helambu,7,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,30,,7,23005,23005-7
Sindhupalchok,Helambu,4,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,328,,4,23005,23005-4
Sindhupalchok,Helambu,5,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,76,,5,23005,23005-5
Sindhupalchok,Helambu,4,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,68,,4,23005,23005-4
Sindhupalchok,Helambu,4,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,46,,4,23005,23005-4
Sindhupalchok,Helambu,5,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,45,,5,23005,23005-5
Sindhupalchok,Helambu,4,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,34,,4,23005,23005-4
Sindhupalchok,Helambu,5,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,28,,5,23005,23005-5
Sindhupalchok,Helambu,5,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,28,,5,23005,23005-5
Sindhupalchok,Helambu,5,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,18,,5,23005,23005-5
Sindhupalchok,Helambu,5,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,16,,5,23005,23005-5
Sindhupalchok,Helambu,5,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,10,,5,23005,23005-5
Sindhupalchok,Melamchi,6,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,375,,6,23009,23009-6
Sindhupalchok,Melamchi,6,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,87,,6,23009,23009-6
Sindhupalchok,Melamchi,6,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,55,,6,23009,23009-6
Sindhupalchok,Melamchi,6,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,37,,6,23009,23009-6
Sindhupalchok,Melamchi,6,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,23,,6,23009,23009-6
Sindhupalchok,Helambu,3,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,179,,3,23005,23005-3
Sindhupalchok,Helambu,3,CARITAS-S,,CDECF,"Swiss Soliciarity, caritas network, Helvetas inter cooperation, caritas switzerland",Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness","Awareness raising, School DRR Plan preparation",Training to teachers and students,,,households,80,,3,23005,23005-3
Sindhupalchok,Chautara Sangachokgadhi,4,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,4,23004,23004-4
Sindhupalchok,Chautara Sangachokgadhi,13,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,13,23004,23004-13
Sindhupalchok,Chautara Sangachokgadhi,10,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,10,23004,23004-10
Sindhupalchok,Chautara Sangachokgadhi,1,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,1,23004,23004-1
Sindhupalchok,Chautara Sangachokgadhi,13,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,13,23004,23004-13
Sindhupalchok,Barhabise,8,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,8,23002,23002-8
Sindhupalchok,Chautara Sangachokgadhi,12,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,12,23004,23004-12
Sindhupalchok,Chautara Sangachokgadhi,11,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,11,23004,23004-11
Sindhupalchok,Tripura Sundari,3,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,3,23012,23012-3
Sindhupalchok,Barhabise,9,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,9,23002,23002-9
Sindhupalchok,Chautara Sangachokgadhi,4,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,4,23004,23004-4
Sindhupalchok,Barhabise,2,JICA,,,,Rural Housing and Community Infrastructure,Support - Reconstruction Committee Formation,Reconstruction Coordination Committee,,,Completed,households,1,1,2,23002,23002-2
Sindhupalchok,Jugal,1,PIN,Community Driven Public Infrastructure and  Livelihood Support ,GMSP,SOS and Czech Radio Foundation ,"Agriculture, Livestock Development and Irrigation",Construction - Multi-Use Water System,Communal Drinking Water,Repairing the drinking water system,,,households,1,,1,23007,23007-1
Sindhupalchok,Chautara Sangachokgadhi,8,PWJ,,ISAP,PWJ,"Water, Sanitation and Hygiene",Construction - WASH facilities in public places,Water supply Scheme rehabliated ,HH water supply repair/rehabilitation,,Completed,households,15,15,8,23004,23004-8
Sindhupalchok,Sunkoshi,6,PWJ,Project for Improving Water Access,ISAP,"Ministry of Foreign Affairs, Japan","Water, Sanitation and Hygiene",Reconstruction - Development of WASH infrastructure,"Construction of Intake, RVT (5 cum), Tap Stand and  HDPE pipe",,,Ongoing,households,27,32,6,23011,23011-6
